TreeID,Site,Year,Treatment,Diameter,Height,Weight,Age
1,1,1,1,2.23,3.76,0.17,3
2,1,1,1,2.12,3.15,0.15,3
3,1,1,1,1.06,1.85,0.02,3
4,1,1,1,2.12,3.64,0.16,3
5,1,1,1,2.99,4.64,0.37,3
6,1,1,1,4.01,5.25,0.73,3
7,1,1,1,2.41,4.07,0.22,3
8,1,1,1,2.75,4.72,0.3,3
9,1,1,1,2.2,4.17,0.19,3
10,1,1,1,4.09,5.73,0.78,3
11,1,1,1,3.62,5.1,0.6,3
12,1,1,1,4.77,5.54,1.11,3
13,1,1,1,1.39,2.4,0.04,3
14,1,1,1,2.89,4.48,0.32,3
15,1,1,1,3.9,4.84,0.07,3
16,1,1,1,1.52,2.9,0.07,3
17,1,1,1,4.51,5.27,0.79,3
18,1,1,1,1.18,2.2,0.03,3
19,1,1,1,3.17,4.93,0.44,3
20,1,1,1,3.33,4.89,0.52,3
21,1,1,2,4.88,6.68,1.34,3
22,1,1,2,2.73,4.91,0.3,3
23,1,1,2,3.05,5.46,0.46,3
24,1,1,2,2.11,3.7,0.14,3
25,1,1,2,1.03,1.85,0.02,3
26,1,1,2,4.84,6.86,1.26,3
27,1,1,2,5.28,6.82,1.54,3
28,1,1,2,1.66,3.28,0.08,3
29,1,1,2,1.57,2.86,0.08,3
30,1,1,2,4.38,6.45,1.16,3
31,1,1,2,2.21,4.08,0.18,3
32,1,1,2,4,6.16,0.93,3
33,1,1,2,2.45,5.16,0.3,3
34,1,1,2,2.59,4.87,0.33,3
35,1,1,2,2.89,5.48,0.4,3
36,1,1,2,5.5,7.14,1.98,3
37,1,1,2,3.13,6,0.59,3
38,1,1,2,1.37,3.12,0.06,3
39,1,1,2,2.07,3.86,0.17,3
40,1,1,2,4.45,6.48,1.21,3
41,1,1,3,3.26,5.07,0.47,3
42,1,1,3,4.19,5.6,0.8,3
43,1,1,3,4.03,5.68,0.81,3
44,1,1,3,2.42,4.14,0.23,3
45,1,1,3,1.3,2.5,0.04,3
46,1,1,3,3,4.46,0.34,3
47,1,1,3,2.93,4.75,0.36,3
48,1,1,3,2.21,3.62,0.16,3
49,1,1,3,1.44,2.82,0.05,3
50,1,1,3,1.91,3.19,0.11,3
51,1,1,3,4.11,5.12,0.65,3
52,1,1,3,1.89,2.94,0.08,3
53,1,1,3,3.75,5.08,0.62,3
54,1,1,3,2.73,3.65,0.25,3
55,1,1,3,3.41,4.45,0.39,3
56,1,1,3,1.17,1.15,0.01,3
57,1,1,3,1.58,1.55,0.03,3
58,1,1,4,5.73,7.34,2.03,3
59,1,1,4,2.64,4.4,0.27,3
60,1,1,4,4.65,7.2,1.42,3
61,1,1,4,3.76,6.75,0.92,3
62,1,1,4,4.92,7.1,1.34,3
63,1,1,4,3.09,6.35,0.56,3
64,1,1,4,4.22,6.85,1.07,3
65,1,1,4,5.13,7.14,1.64,3
66,1,1,4,6.14,7.59,2.38,3
67,1,1,4,2.28,3.92,0.22,3
68,1,1,4,5.46,7.66,2.13,3
69,1,1,4,5.84,8.02,2.33,3
70,1,1,4,2.72,4.86,0.37,3
71,1,1,4,2.57,5,0.32,3
72,1,1,4,4.95,7.32,1.74,3
73,1,1,4,3.03,5.52,0.51,3
74,1,1,4,1.94,3.22,0.12,3
75,1,1,4,3.5,5.9,0.63,3
